,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,series_length,exp_length
19,0.55,4.9099061489105225,4.875934600830078,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,64,6
20,0.65,0.2154550552368164,0.11964821815490723,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,64,6
21,0.525,1.57094407081604,1.407264232635498,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,128,7
22,0.425,7.901684045791626,7.72136664390564,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,128,7
23,0.45,16.673887968063354,15.831869125366211,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,128,7
24,0.45,55.24883437156677,29.52309250831604,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,128,7
25,0.475,1.1050324440002441,0.9911212921142578,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,128,7
26,0.6,36.10548973083496,25.685344457626343,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,128,7
27,0.65,0.9852962493896484,0.5754239559173584,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,128,7
28,0.775,4.607556104660034,4.434180021286011,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,256,8
29,0.8,20.90455961227417,19.011871814727783,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,256,8
30,0.875,73.82732129096985,57.680808544158936,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,256,8
31,0.775,146.0810739994049,128.15842938423157,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,256,8
32,0.9,2.1153218746185303,1.8420774936676025,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,256,8
33,0.55,335.54219007492065,328.5337698459625,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,256,8
34,0.925,2.466376781463623,1.499990701675415,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,256,8
35,0.825,22.94877529144287,7.468895196914673,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,512,9
36,0.875,39.56096029281616,24.362125158309937,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,512,9
37,0.85,257.9271478652954,110.5325391292572,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,512,9
38,0.875,644.5398180484772,489.54856538772583,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,512,9
39,0.925,4.260634422302246,3.816803455352783,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,512,9
40,0.825,3805.857216835022,3808.114164352417,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,512,9
41,0.975,5.31352686882019,3.407996416091919,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,512,9
42,0.775,195.7604787349701,89.05885410308838,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,1024,10
43,0.9,266.37213802337646,161.3055670261383,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,1024,10
44,0.75,2281.960830450058,1219.8296716213226,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,1024,10
45,0.85,4092.926815509796,3007.9111363887787,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,1024,10
46,0.95,7.959002733230591,7.551131010055542,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,1024,10
47,0.875,67548.01740098,50549.50523161888,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,1024,10
48,0.975,12.451112031936646,7.346514463424683,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,1024,10
