,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10
100,ShakeGestureWiimoteZ,0.76,0.82,0.77,0.82,0.48,0.81,0.74,0.84,0.57,0.82,0.75,0.82
101,ShapeletSim,0.88,0.88,0.89,0.88,0.52,0.8,0.55,0.8,0.59,0.53,0.69,0.62
102,ShapesAll,0.68,0.68,0.55,0.71,0.43,0.6,0.44,0.64,0.74,0.69,0.55,0.72
103,SmallKitchenAppliances,0.67,0.73,0.65,0.58,0.61,0.75,0.61,0.5,0.64,0.72,0.64,0.57
104,SmoothSubspace,0.75,0.9,0.71,0.87,0.77,0.85,0.81,0.88,0.71,0.82,0.73,0.85
105,SonyAIBORobotSurface1,0.74,0.8,0.8,0.8,0.71,0.73,0.67,0.75,0.74,0.74,0.71,0.73
106,SonyAIBORobotSurface2,0.82,0.89,0.85,0.9,0.8,0.86,0.83,0.87,0.78,0.83,0.79,0.84
107,StarLightCurves,0.91,0.96,0.94,0.97,0.91,0.94,0.91,0.95,0.92,0.97,0.91,0.97
108,Strawberry,0.96,0.97,0.95,0.96,0.89,0.96,0.94,0.95,0.89,0.95,0.93,0.94
109,SwedishLeaf,0.82,0.89,0.85,0.89,0.88,0.71,0.88,0.72,0.88,0.76,0.89,0.8
110,Symbols,0.94,0.94,0.94,0.94,0.8,0.88,0.84,0.87,0.87,0.95,0.85,0.94
111,SyntheticControl,0.8,0.96,0.89,0.97,0.98,0.89,0.98,0.95,0.96,0.93,0.98,0.97
112,ToeSegmentation1,0.87,0.89,0.87,0.89,0.85,0.88,0.73,0.86,0.84,0.85,0.66,0.86
113,ToeSegmentation2,0.87,0.9,0.89,0.9,0.85,0.86,0.74,0.88,0.79,0.84,0.74,0.84
114,Trace,1.0,1.0,1.0,1.0,0.98,0.99,0.98,1.0,0.96,1.0,0.98,1.0
115,TwoLeadECG,0.84,0.99,0.93,1.0,0.85,0.99,0.9,1.0,0.91,0.95,0.91,0.98
116,TwoPatterns,0.97,1.0,0.95,1.0,0.75,0.96,0.81,0.85,0.63,0.97,0.81,0.89
117,UMD,0.96,0.97,0.93,0.98,0.67,0.83,0.7,0.85,0.76,0.94,0.74,0.95
118,UWaveGestureLibraryAll,0.89,0.96,0.9,0.94,0.89,0.95,0.91,0.92,0.9,0.96,0.91,0.94
119,UWaveGestureLibraryX,0.7,0.77,0.72,0.61,0.7,0.72,0.71,0.52,0.7,0.77,0.72,0.6
120,UWaveGestureLibraryY,0.62,0.68,0.63,0.46,0.61,0.62,0.61,0.4,0.62,0.69,0.64,0.46
121,UWaveGestureLibraryZ,0.66,0.72,0.67,0.5,0.64,0.65,0.64,0.44,0.67,0.73,0.67,0.51
122,Wafer,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.98,1.0,0.99,1.0
123,Wine,0.85,0.78,0.78,0.78,0.69,0.79,0.7,0.81,0.61,0.83,0.61,0.84
124,WordSynonyms,0.66,0.68,0.67,0.68,0.62,0.63,0.52,0.65,0.61,0.65,0.47,0.68
125,Worms,0.46,0.48,0.41,0.51,0.49,0.5,0.5,0.53,0.44,0.45,0.47,0.53
126,WormsTwoClass,0.57,0.63,0.6,0.65,0.6,0.59,0.6,0.61,0.6,0.62,0.61,0.61
127,Yoga,0.62,0.78,0.66,0.73,0.64,0.79,0.68,0.72,0.61,0.78,0.65,0.72
