,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10
102,ShapesAll,0.7,0.74,0.72,0.74,0.39,0.58,0.42,0.63,0.73,0.68,0.54,0.72
103,SmallKitchenAppliances,0.53,0.73,0.51,0.73,0.64,0.75,0.63,0.54,0.63,0.74,0.63,0.6
104,SmoothSubspace,0.84,0.86,0.85,0.86,0.87,0.84,0.85,0.84,0.75,0.82,0.77,0.83
105,SonyAIBORobotSurface1,0.9,0.95,0.91,0.95,0.87,0.93,0.9,0.93,0.86,0.93,0.87,0.93
106,SonyAIBORobotSurface2,0.86,0.91,0.87,0.9,0.84,0.9,0.83,0.9,0.79,0.89,0.79,0.9
107,StarLightCurves,0.92,0.96,0.94,0.96,0.93,0.95,0.93,0.95,0.93,0.97,0.94,0.97
108,Strawberry,0.96,0.95,0.96,0.96,0.9,0.96,0.94,0.95,0.88,0.96,0.91,0.96
109,SwedishLeaf,0.79,0.87,0.83,0.88,0.85,0.66,0.86,0.69,0.86,0.72,0.87,0.78
110,Symbols,0.78,0.78,0.78,0.78,0.72,0.77,0.75,0.78,0.7,0.78,0.73,0.78
111,SyntheticControl,0.77,0.96,0.88,0.96,0.99,0.89,0.98,0.94,0.96,0.93,0.97,0.97
112,ToeSegmentation1,0.89,0.94,0.91,0.95,0.87,0.87,0.73,0.89,0.81,0.78,0.67,0.82
113,ToeSegmentation2,0.93,0.93,0.92,0.94,0.91,0.93,0.82,0.95,0.85,0.92,0.77,0.93
114,Trace,0.99,1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.97,1.0,0.93,1.0
115,TwoLeadECG,0.88,0.98,0.9,0.99,0.83,0.98,0.91,0.98,0.82,0.97,0.85,0.99
116,TwoPatterns,0.97,0.99,0.94,0.99,0.77,0.96,0.82,0.86,0.72,0.98,0.74,0.9
117,UMD,0.84,0.91,0.88,0.92,0.68,0.79,0.64,0.8,0.74,0.9,0.73,0.93
118,UWaveGestureLibraryAll,0.94,0.97,0.95,0.97,0.9,0.96,0.91,0.92,0.9,0.96,0.91,0.94
119,UWaveGestureLibraryX,0.54,0.69,0.6,0.69,0.69,0.71,0.69,0.53,0.7,0.77,0.71,0.61
120,UWaveGestureLibraryY,0.42,0.56,0.47,0.56,0.59,0.62,0.6,0.37,0.61,0.68,0.62,0.42
121,UWaveGestureLibraryZ,0.48,0.61,0.53,0.62,0.64,0.66,0.64,0.45,0.66,0.72,0.66,0.51
122,Wafer,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.98,1.0,0.98,1.0
123,Wine,0.85,0.91,0.9,0.89,0.8,0.85,0.77,0.88,0.72,0.87,0.77,0.87
124,WordSynonyms,0.66,0.68,0.67,0.68,0.62,0.63,0.51,0.64,0.64,0.66,0.51,0.68
125,Worms,0.58,0.63,0.58,0.63,0.47,0.55,0.54,0.57,0.48,0.47,0.56,0.5
126,WormsTwoClass,0.69,0.7,0.66,0.71,0.6,0.61,0.6,0.68,0.61,0.64,0.63,0.67
127,Yoga,0.77,0.84,0.8,0.85,0.65,0.79,0.69,0.73,0.64,0.8,0.66,0.76
